session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61520a0e7a2833e456b6d97f,masked_for_anonoymity,RETURNED,2021-09-27T18:14:46.119Z,,1278325.022497,23,6,0,100,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61520a3f0e4714a0e1a163ff,masked_for_anonoymity,APPROVED,2021-09-27T18:15:32.193Z,2021-09-27T19:14:32.959Z,3540.766,20,14,0,100,2021-09-28T11:09:01.560Z,807F37DE,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
61520a89a0a1f2fb77488ace,masked_for_anonoymity,RETURNED,2021-09-27T18:16:47.156Z,,1278204.022838,54,48,1,99,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61520ac379c22144de6c24ee,masked_for_anonoymity,APPROVED,2021-09-27T18:17:49.186Z,2021-09-27T18:51:44.411Z,2035.225,20,20,0,100,2021-09-28T11:09:01.623Z,807F37DE,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
61520b8488834f911cd1bf83,masked_for_anonoymity,APPROVED,2021-09-27T18:23:06.319Z,2021-09-27T18:59:34.557Z,2188.238,31,49,1,100,2021-09-28T11:09:01.676Z,807F37DE,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61520bdf0638a5852929542f,masked_for_anonoymity,APPROVED,2021-09-27T18:22:39.530Z,2021-09-27T18:44:09.006Z,1289.476,48,15,0,100,2021-09-28T11:09:01.729Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61520c0e2b01bc1cce9ed3ca,masked_for_anonoymity,APPROVED,2021-09-27T18:23:13.017Z,2021-09-27T18:55:06.592Z,1913.575,26,48,0,100,2021-09-28T11:09:01.784Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61520c2141c975623ae3bc82,masked_for_anonoymity,APPROVED,2021-09-27T18:23:31.290Z,2021-09-27T18:44:00.688Z,1229.398,23,123,0,100,2021-09-28T11:09:01.842Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
61520c87682d41c9f274cab4,masked_for_anonoymity,APPROVED,2021-09-27T18:25:16.451Z,2021-09-27T18:54:19.634Z,1743.183,31,5,1,94,2021-09-28T11:09:01.897Z,807F37DE,DATA EXPIRED,United Kingdom,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
61520c8be758d0af4d293b0f,masked_for_anonoymity,RETURNED,2021-09-27T18:35:15.667Z,,1277095.648834,39,28,1,99,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61520ca51e6c760587d9161d,masked_for_anonoymity,RETURNED,2021-09-27T18:25:46.669Z,,1277664.665804,31,28,1,98,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61520cc7f2c31cfc4a5cefd7,masked_for_anonoymity,APPROVED,2021-09-27T18:26:51.542Z,2021-09-27T19:03:38.010Z,2206.468,45,32,0,100,2021-09-28T11:09:01.979Z,807F37DE,Croatia,United Kingdom,Part-Time,Croatian,Croatia,Female,Yes
61520cd87941534362daecc0,masked_for_anonoymity,RETURNED,2021-09-27T18:26:36.453Z,,1277614.914661,18,38,1,98,,"",CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61520d63a82dd3c77f21afdf,masked_for_anonoymity,APPROVED,2021-09-27T18:28:55.450Z,2021-09-27T18:58:38.618Z,1783.168,26,44,0,100,2021-09-28T11:09:02.053Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61520d8d860ecf740ed9168d,masked_for_anonoymity,APPROVED,2021-09-27T18:29:40.542Z,2021-09-27T19:15:16.629Z,2736.087,29,36,1,99,2021-09-28T11:09:02.135Z,807F37DE,Ireland,United Kingdom,Full-Time,English,Ireland,Female,No
61520d8f6380b57b95f51a10,masked_for_anonoymity,APPROVED,2021-09-27T18:29:37.068Z,2021-09-27T18:57:38.372Z,1681.304,32,17,0,100,2021-09-28T11:09:02.202Z,807F37DE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No
61520dc2c349c1064723a458,masked_for_anonoymity,APPROVED,2021-09-27T18:30:30.413Z,2021-09-27T19:25:24.067Z,3293.654,39,38,0,100,2021-09-28T11:09:02.266Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61520e1fe6fbcbad3973a194,masked_for_anonoymity,APPROVED,2021-09-27T18:32:01.714Z,2021-09-27T18:58:08.080Z,1566.366,30,20,0,100,2021-09-28T11:09:02.331Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61520e45c54d6576f15ff8f0,masked_for_anonoymity,APPROVED,2021-09-27T18:32:41.266Z,2021-09-27T19:25:56.186Z,3194.92,24,31,0,100,2021-09-28T11:09:02.401Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61520e718c21deaa76d9f043,masked_for_anonoymity,APPROVED,2021-09-27T18:33:24.877Z,2021-09-27T19:19:58.633Z,2793.756,19,43,0,100,2021-09-28T11:09:02.466Z,807F37DE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,South Africa,Male,Yes
61520e71f5efcd7ae37c0d5b,masked_for_anonoymity,APPROVED,2021-09-27T18:33:52.377Z,2021-09-27T18:58:56.299Z,1503.922,36,41,0,100,2021-09-28T11:09:02.536Z,807F37DE,DATA EXPIRED,United Kingdom,Full-Time,English,DATA EXPIRED,Female,No
61520ebc27b17aca6e2e9d82,masked_for_anonoymity,APPROVED,2021-09-27T18:34:44.124Z,2021-09-27T19:08:17.960Z,2013.836,31,47,2,98,2021-09-28T11:09:02.603Z,807F37DE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61520ec431a7706d753bca27,masked_for_anonoymity,TIMED-OUT,2021-09-27T18:34:55.210Z,,1277116.353269,35,31,0,100,,"",United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
